"","Response","Form","Type","nInd","Predictors","Fval","df","p","R2mR2c"
"1","xT","rate + set","lme","22","rate","3.66","1,43","0.063","0.17[0.42]"
"2","","","","","set","5.41","1,20","0.031",""
"3","iSC","rate + set","lme","22","rate","1.05","1,43","0.31","0.07[0.19]"
"4","","","","","set","2.81","1,20","0.11",""
"5","fSC","rate + set","lme","22","rate","3.4","1,43","0.072","0.1[0.47]"
"6","","","","","set","2.04","1,20","0.17",""
"7","wF","rate + set","lme","22","rate","0.71","1,43","0.41","0.2[0.36]"
"8","","","","","set","9.92","1,20","0.005",""
